rank,country,user,affiliation,birth,rating,highest,match,win
1,BY,tourist,ITMO University,1994,4023,4208,34,15
2,RU,Petr,,1985,3882,3882,32,2
3,CN,apiad,unknown,1997,3850,3850,30,5
4,RU,Um_nik,HSE,1996,3817,3919,35,4
5,RU,LHiC,Moscow SU,,3675,3812,38,2
6,CA,ksun48,Massachusetts Institute of Technology,1998,3618,3741,34,1
7,JP,yutaka1999,The University of Tokyo,,3614,3724,32,1
8,RU,cospleermusora,,,3606,3783,25,3
9,JP,semiexp,"Preferred Networks, Inc.",,3548,3594,17,2
10,US,ecnerwal,,1997,3543,3543,10,0
11,JP,snuke,AtCoder Inc.,1994,3513,3525,32,1
12,RU,eatmore,ITMO University,1989,3441,3511,17,1
13,RU,vepifanov,Nizhny Novgorod State University,1992,3439,3439,13,0
14,PL,Marcin,University of Warsaw,1993,3419,3527,27,1
15,PL,mnbvmar,University of Warsaw,1996,3409,3409,8,0
16,CN,wxh010910,Chengdu No.7 High School,,3406,3406,19,0
17,PL,Stonefeang,University of Warsaw,1997,3372,3425,16,1
18,DE,Egor,Devexperts GmbH,1985,3349,3477,23,1
19,CN,jcvb,Tsinghua University,1997,3347,3407,13,1
20,JP,yosupo,The University of Tokyo,1995,3332,3444,41,1
21,KR,dotorya,,1997,3319,3319,14,0
22,KR,koosaga,KAIST,1998,3274,3330,26,0
23,RU,pashka,ITMO University,1984,3268,3361,24,0
24,JP,maroonrk,The University of Tokyo,1999,3259,3259,40,0
25,RU,endagorion,MIPT,1991,3257,3431,16,0
26,RU,SpyCheese,ITMO University,1998,3241,3506,13,1
27,CN,newbiedmy,,2002,3228,3228,6,0
28,PL,Swistakk,University of Warsaw,1993,3218,3218,23,0
29,CN,KujouKaren,,,3208,3208,7,0
30,JP,sugim48,,,3206,3319,23,1
31,CN,lych_cys,,,3199,3199,9,0
32,KR,ainta,Seoul National University,1998,3188,3190,35,0
33,KR,molamola,,1998,3180,3180,26,0
34,CN,matthew99,MIT,1999,3177,3216,14,0
35,JP,DEGwer,The University of Tokyo,1996,3176,3234,30,0
36,RU,aid,SPbSU,1996,3165,3207,40,0
37,CN,sevenkplus,Massachusetts Institute of Technology,1996,3145,3208,12,0
38,RU,Merkurev,Ural FU,1994,3141,3242,15,0
39,PL,Errichto,University of Warsaw,1995,3139,3181,16,0
40,US,scott_wu,Harvard University,1996,3133,3133,5,0
41,RU,zemen,Russia,1996,3122,3155,31,0
42,CN,fizzydavid,,2002,3118,3118,21,0
43,CN,maryanna2016,,1991,3101,3101,35,0
44,RU,ariacas,,1988,3093,3093,18,0
45,RU,kunyavskiy,vk.com,1995,3091,3292,19,0
46,JP,hos_lyric, Rabbit House,,3082,3082,10,0
47,CN,fjzzq2002,,,3081,3081,19,0
48,CN,qiaoranliqu,,1999,3077,3077,8,0
48,HK,Factorio,Factorio,1995,3077,3134,9,0
50,RU,niyaznigmatul,ITMO University,1992,3072,3072,13,0
51,NL,krijgertje,Novulo,1984,3065,3065,25,0
52,LV,Alex_2oo8,whiteCryption,1996,3061,3127,23,0
53,JP,chokudai, AtCoder Inc. CEO,1988,3056,3056,21,0
53,CN,mn3twe,,,3056,3056,11,0
55,RU,KAN,"Russia, Nizhny Novgorod, Nizhny Novgorod State University",,3045,3045,9,0
56,RU,Kostroma,MIPT,1995,3042,3042,19,0
57,JP,WA_TLE,☀☀太陽系☀☀,2001,3037,3120,49,0
58,CN,miaom,,1900,3035,3067,10,0
59,UA,qwerty787788,ITMO University,1995,3027,3183,19,0
60,CN,zhouyuyang,SXYZ,2002,3023,3023,22,0
61,RU,TeaPot,Yandex,1994,3018,3091,10,0
62,JP,hogloid,Preferred Networks Inc.,1995,3002,3002,16,0
63,US,Benq,MIT,2001,2993,3007,33,0
64,JP,japlj,"Recruit Communications Co., Ltd.",,2992,3037,16,1
65,TW,dreamoon,National Taiwan University,1990,2988,3218,49,0
66,CH,ilyakor,,1989,2985,3088,27,0
67,CN,SanSiroWaltz,Tsinghua University,1999,2983,3083,19,0
68,JP,yokozuna57,UT,,2980,3050,27,0
69,SE,aitch,University of Cambridge,1998,2979,3082,21,0
70,CZ,majk,ETH Zürich,1987,2975,3002,43,0
71,JP,Huziwara,東京大学,1994,2973,3099,37,0
71,RU,Golovanov399,Moscow IPT,1996,2973,3011,33,0
73,US,desert97,Stanford,1997,2964,2985,21,0
74,RU,Zlobober,Moscow State University,1995,2960,3057,13,0
75,CN,liympanda,,1982,2959,3028,21,0
76,JP,tozangezan,Star Wolf,1995,2956,3022,33,0
76,CN,ACRush,,1986,2956,2956,7,0
78,RU,HellKitsune,Togliatti State University,1992,2950,3147,34,0
79,RU,mmaxio,,1993,2949,3005,28,0
80,RU,VArtem,ITMO University,1993,2943,2943,26,0
81,CN,gispzjz,,1999,2940,2940,16,0
82,UA,RomaWhite,,,2937,2937,9,0
82,CN,kczno1,,2001,2937,2973,13,0
84,UA,LeBron,,1993,2936,2986,25,0
85,JP,IH19980412,The University of Tokyo,1998,2931,2989,31,0
86,RU,izban,ITMO University,1995,2928,3000,35,0
86,JP,sigma425,The University of Tokyo,1995,2928,3098,40,0
86,CN,King_George,,,2928,2928,20,0
89,RU,riadwaw,Moscow Institute of Physics and Technology,1993,2927,2999,21,0
89,SE,Gullesnuffs,Google,1994,2927,3039,9,0
91,CN,xyz111,MIT,,2926,2926,9,0
92,CN,cz_xuyixuan,Changzhou Senior High School of Jiangsu Province,2002,2914,2914,8,0
93,PL,voover,,1989,2913,3020,25,0
94,JP,asi1024,********* ******** Inc.,1993,2911,2947,22,0
95,HK,alex20030190,The Chinese University of Hong Kong,1997,2909,2979,8,0
96,IR,Reyna,,1999,2908,3121,41,0
97,RU,DmitryGrigorev,Moscow IPT,2000,2907,2907,47,0
98,JP,latte0119,筑波大学,1998,2902,2922,45,0
99,CN,OMTWOCZWEIXVI,,,2894,2894,8,0
100,CN,samjia2000,,2000,2890,2890,13,0
101,TW,shik,National Taiwan University,1992,2884,3130,40,0
102,HR,dbradac,,,2880,2880,10,0
103,VN,Zero_sharp,,1990,2879,2879,10,0
104,JP,sky58,346Production & 765LiveTheater,1991,2878,3127,35,1
104,RU,AndreySergunin,Moscow IPT,1997,2878,2883,16,0
106,CN,AngryBacon,Shanghai Jiao Tong University,,2876,2876,8,0
106,RU,khadaev,,1998,2876,3002,24,0
108,KR,tlwpdus,Seoul National University,2000,2870,2870,10,0
109,JP,uwi,"Recruit Communications Co., Ltd.",1983,2869,3142,47,0
110,KR,august14,Korea,,2868,2910,27,0
111,JP,rickytheta,Tokyo Institute of Technology,1997,2866,2866,79,0
112,KR,mulgokizary,Pink Panda University,1991,2862,2862,7,0
113,JP,kawatea,,,2858,2940,36,0
114,JP,natsugiri,,,2857,2861,34,0
114,RU,tinsane,,1998,2857,2857,11,0
116,JP,nuip,,1995,2852,2902,45,0
117,CN,sd0061,Beihang University,1994,2849,2849,11,0
118,ID,jonathanirvings,Google,1996,2848,2853,26,0
119,CN,waltz,,,2846,2846,16,0
120,CN,rqgao2014,Nanjing Foreign Language School,2000,2839,2839,12,0
121,FR,Rafbill,,1996,2838,2947,35,0
122,MY,zscoder,Chung Ling High School,2001,2837,2851,60,0
123,BY,Arterm,Moscow Institute of Physics and Technology,1996,2833,3160,35,0
