rank,user,participation,rating
1,Benq,75,3539
2,tourist,154,3532
3,wxhtxdy,106,3425
4,Radewoosh,134,3316
5,ecnerwala,76,3297
6,mnbvmar,88,3280
7,LHiC,132,3276
8,Um_nik,186,3260
9,yutaka1999,47,3190
10,TLE,55,3145
11,300iq,100,3113
12,Petr,148,3095
13,dotorya,83,3090
14,sunset,39,3078
15,maroonrk,30,3075
16,rng_58,118,3074
17,fateice,31,3052
18,scott_wu,92,3049
19,ACRush,49,3047
20,Merkurev,131,3024
21,ershov.stanislav,92,3020
22,Marcin_smu,117,3015
23,krijgertje,36,3001
24,ksun48,149,2970
24,djq_cpp,34,2970
26,stO,67,2963
27,aid,193,2946
28,yosupo,101,2943
29,izban,155,2928
29,CauchySheep,17,2928
31,grumpy_gordon,107,2921
31,tzuyu_chou,14,2921
33,tlwpdus,41,2909
34,Endagorion,161,2897
35,OnionPringles,26,2891
36,Nebuchadnezzar,149,2885
37,RomaWhite,123,2878
38,HIR180,100,2868
39,oxytocyna,47,2861
40,PavelKunyavskiy,148,2856
41,ainta,163,2844
41,ohweonfire,58,2844
43,snuke,109,2835
44,step_by_step,86,2828
45,AndreySergunin,140,2822
46,Errichto,109,2816
47,Anadi,60,2815
48,sevenkplus,59,2814
48,majk,53,2814
50,whzzt,38,2807
51,zemen,170,2799
51,cz_yixuanxu,12,2799
53,mmaxio,210,2798
54,WA_TLE,39,2796
55,scanhex,62,2793
56,vosptu,12,2787
57,Vn_nV,24,2785
58,Reyna,157,2777
58,kczno1,20,2777
60,dreamoon_love_AA,262,2774
61,Swistakk,156,2771
62,matthew99,109,2770
63,pashka,47,2767
64,BigBag,177,2765
65,cookiedoth,52,2764
66,Golovanov399,200,2762
66,gamegame,50,2762
68,ToTLeS,83,2760
69,Egor,217,2758
70,mjhun,44,2757
71,neal,80,2753
72,Shayan,116,2751
73,yokozuna57,81,2750
74,Deemo,116,2747
74,lumibons,24,2747
76,DmitryGrigorev,117,2743
77,tmwilliamlin168,31,2739
77,Batrr,56,2739
79,Kostroma,188,2735
80,VArtem,120,2730
81,V--gLaSsH0ldEr593--V,77,2728
81,Noam527,71,2728
81,bip_oqq,18,2728
84,orbitingflea,23,2727
85,panole,13,2726
86,ugly2333,56,2724
87,zeronumber,7,2722
